Município,IMEI1,IMEI2,Marca,Modelo,Capacidade,Entrega,Local de Uso,Situação, Patrimonio
Abatiá,810164064910885,382816169841972,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,463418132924224,882384950794543,Apple,iPhone 15 Pro,256GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,509783481320845,249994565187986,Multilaser,G Max 2,64GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,933842183996551,884937424402527,Xiaomi,Redmi Note 12,128GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,493128614455425,535005782067176,Xiaomi,Poco X5,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,210842187633419,266769148165681,Samsung,Galaxy S23,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,795128114318724,270639561165971,Samsung,Galaxy S23,256GB,Abatiá,Escola do município Abatiá,Danificado
Abatiá,352254688437826,837261253134685,Samsung,Galaxy A14,128GB,Abatiá,Escola do município Abatiá,Danificado
Abatiá,433797265150675,904672356128465,Samsung,Galaxy A14,128GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,831643416632480,716458472370902,Xiaomi,Poco X5,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,147399564915527,405281921464346,Apple,iPhone 15 Pro,256GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,770618203081102,412676573464819,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,707459077411094,379619663284521,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Danificado
Abatiá,523390210144003,172467979992820,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Danificado
Abatiá,471473518815179,831256455727654,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,983352817073330,974399478207241,Xiaomi,Poco X5,256GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,508943055255896,828177130327391,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,166650368515232,612626463498688,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,333004716521000,863779298458545,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,184384766707251,864761072171199,Philco,Hit P10,128GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,627929736084008,676884180697053,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,673619391339025,259768974539332,Multilaser,G Max 2,64GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,829992180670053,496254169830381,Apple,iPhone 15 Pro,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,543540123135314,143936596449329,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,845610904896803,216803263821962,Apple,iPhone 15 Pro,256GB,Abatiá,Escola do município Abatiá,Em uso
Abatiá,896818354171076,977738463217194,Samsung,Galaxy S23,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,214507565221744,952233878503831,Multilaser,G Max 2,64GB,Abatiá,Escola do município Abatiá,Roubado
Abatiá,144974220412769,143225609431682,Motorola,Edge 40,256GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,291686490153580,113946411530865,Apple,iPhone 13,128GB,Abatiá,Escola do município Abatiá,Inservível
Abatiá,985606539806383,436049541589231,Philco,Hit P10,128GB,Abatiá,Escola do município Abatiá,Danificado
